13,69,48,89,15,65,2,8,40,6,63,42,1,20,98,5,71,32,35,76,22,98,9,25,54,23,73,70,97,38,37,81,7,33,18,54,70,97,76,61,97,58,19,41,86,89,57,19,66,60,59,67,16,73,31,75,17,53,30,96,35,86,10,18,45,97,68,17,32,23,47,25,23,97,20,54,17,20,42,36,35,75,43,26,7,14,91,48,83,88,53,30,90,52,67,41,38,73,18,91,62,4,28,18,11,2,86,38,37,74,95,73,2,12,39,71,97,79,17,94,8,13,34,42,15,43,86,78,56,56,84,18,78,55,82,4,79,20,32,91,28,10,69,30,64,2,5,75,18,12,77,42,99,1,50,75,8,30,24,48,82,51,59,89,43,74,19,3,89,7,72,16,85,3,31,5,9,16,59,78,55,22,9,53,45,43,88,66,75,87,75,1,12,23,95,57,18,93,36,76
11,59,33,83,28,73,66,48,84,48,28,20,79,57,46,38,88,45,67,47,55,25,39,33,57,41,47,85,46,76,14,40,89,27,76,71,43,86,47,47,56,93,45,81,90,75,74,93,85,89,100,98,100,78,70,58,78,50,65,84,36,72,88,86,54,92,98,74,89,58,62,97,69,26,48,67,88,60,75,22,54,45,67,45,13,93,39,29,91,21,65,98,52,7,25,53,8,77,65,27,38,78,11,78,41,75,45,28,3,71,64,27,46,61,81,17,2,45,35,61,73,74,85,8,72,96,40,46,55,57,39,4,30,2,18,45,49,64,72,80,10,41,89,52,42,93,68,60,83,34,81,90,81,83,30,67,93,4,7,76,32,84,12,92,21,42,94,56,32,21,95,5,55,82,76,21,23,50,40,84,76,83,89,76,77,41,14,20,9,16,54,16,7,83,91,60,56,92,52,19
80,56,48,7,69,65,100,88,100,28,4,99,34,15,42,74,51,57,83,87,81,11,44,57,90,80,75,91,76,72,87,64,32,95,95,87,73,42,35,75,68,82,100,89,61,90,100,72,85,93,96,95,94,80,83,74,99,70,57,43,78,58,85,60,52,25,75,95,28,56,81,88,16,41,11,86,47,97,35,12,82,90,61,83,5,42,57,20,87,26,20,57,88,70,22,40,15,28,22,75,45,40,51,81,7,95,31,2,74,97,4,87,29,20,54,83,3,56,87,33,66,10,43,55,24,85,52,63,47,47,64,84,55,6,33,75,14,95,82,2,58,98,59,43,96,25,69,98,5,60,42,87,78,52,30,25,13,98,66,78,24,21,6,10,69,4,52,51,47,0,33,45,65,57,22,55,90,81,40,49,75,89,23,72,90,26,54,36,7,52,91,63,30,98,76,30,78,78,95,66
52,50,8,60,74,2,31,72,86,32,35,92,36,25,1,88,25,3,1,1,55,43,24,40,96,95,15,99,51,79,18,17,82,44,9,93,34,62,23,16,90,60,79,10,92,12,92,2,18,68,81,58,28,63,2,23,21,93,71,46,14,21,45,24,35,40,74,96,69,37,37,39,61,80,40,35,88,84,90,61,91,97,40,9,30,43,66,49,41,27,42,21,7,45,37,7,67,5,57,81,51,75,47,40,67,97,75,48,23,5,16,83,17,23,42,35,7,33,74,14,22,82,21,22,97,52,14,3,79,49,34,31,99,19,84,88,10,69,3,32,24,16,71,93,31,68,37,55,26,45,44,40,6,93,83,5,80,26,5,97,70,56,56,2,84,1,33,74,79,17,18,21,74,56,12,96,4,61,32,23,9,96,17,76,14,72,34,25,36,94,66,99,90,38,89,68,64,16,85,6
98,40,56,73,99,25,91,33,62,35,67,81,98,18,40,69,37,88,73,6,33,88,70,57,95,65,45,48,35,34,32,8,33,78,95,3,64,9,92,81,40,24,60,15,76,12,14,76,38,57,96,2,94,90,64,53,64,10,41,29,17,97,61,30,70,31,86,91,90,18,50,97,46,9,29,68,62,80,52,69,5,49,7,13,54,45,49,68,45,68,46,64,43,2,83,64,70,53,84,45,31,93,29,29,21,28,73,65,73,49,93,91,39,26,16,88,35,36,93,96,31,75,10,60,56,18,41,19,91,69,82,68,3,79,2,16,69,39,22,74,59,36,19,83,73,59,84,7,44,75,86,41,35,85,5,33,14,92,98,48,61,5,21,94,91,59,18,75,78,21,54,72,15,32,35,53,46,19,64,39,26,57,38,65,75,12,24,16,15,9,36,46,59,62,94,8,39,37,100,64
39,46,68,5,76,57,67,13,9,49,52,66,83,48,30,53,56,31,27,45,21,48,94,96,12,78,20,25,46,94,82,89,31,24,82,2,57,69,80,19,89,35,40,34,2,21,3,34,27,45,2,87,60,30,29,23,19,9,24,22,1,23,54,58,76,58,48,7,74,73,6,50,18,10,66,8,36,23,71,25,63,3,64,83,48,2,96,50,4,77,74,35,48,34,36,33,42,21,14,47,14,71,73,45,71,76,10,66,14,10,56,89,43,2,86,17,29,28,16,54,94,68,23,98,92,55,22,83,47,65,52,11,95,31,50,96,33,60,99,38,67,66,73,5,69,20,17,33,41,48,31,82,16,20,62,65,10,80,41,52,35,3,29,68,30,94,65,96,34,35,36,4,13,79,59,3,44,51,40,95,61,5,40,14,36,67,93,98,83,16,28,19,16,32,91,24,48,33,17,64
17,8,89,40,73,52,26,96,69,80,71,9,84,8,16,91,43,52,37,70,70,19,29,43,75,62,5,22,48,95,66,69,5,39,27,86,15,48,69,11,24,13,97,18,85,10,15,66,51,66,7,35,56,16,64,22,20,7,43,91,2,5,29,15,31,6,51,72,92,82,15,48,29,43,81,11,90,93,65,67,17,75,23,35,13,92,40,70,52,43,69,89,85,46,8,82,61,36,11,28,86,66,25,87,8,94,65,45,49,54,20,1,67,23,3,20,81,56,9,79,43,26,17,39,48,34,2,38,30,51,51,41,62,29,38,7,97,54,65,80,25,95,52,36,58,76,85,70,79,57,95,36,54,35,37,98,26,33,13,59,14,26,9,7,11,11,59,21,40,86,58,48,99,91,47,39,12,23,77,62,70,58,87,31,31,77,98,21,67,49,54,5,100,51,3,92,56,25,84,93
73,32,50,99,32,29,31,76,73,28,44,2,82,83,24,10,29,81,74,50,58,53,3,86,100,3,98,70,6,27,29,58,46,51,38,1,90,82,78,92,56,17,48,96,98,34,14,44,17,99,11,95,5,90,7,33,29,67,76,60,60,23,72,61,1,99,23,94,94,53,72,25,75,77,82,59,56,60,50,62,17,8,47,51,23,79,81,60,39,57,41,57,44,47,38,87,9,63,92,4,72,84,55,37,41,50,43,54,64,21,28,61,57,51,15,52,64,43,79,55,31,42,95,14,52,65,28,24,4,2,62,58,41,96,57,54,5,32,75,83,65,31,87,88,93,74,20,84,14,45,3,75,93,21,42,36,27,46,92,56,83,24,100,41,44,40,83,90,97,18,70,85,85,36,56,15,76,25,56,19,30,43,30,26,58,90,83,29,70,52,51,52,75,13,96,75,16,23,15,16
10,16,80,50,43,7,99,70,76,100,28,80,36,65,37,88,55,74,72,8,22,50,32,32,52,18,57,94,87,10,59,40,91,86,32,42,12,28,42,96,17,46,65,73,84,93,1,54,89,59,27,70,44,56,34,51,5,55,92,16,35,64,47,16,84,3,71,84,10,90,5,20,74,74,93,89,51,18,98,83,34,74,18,55,46,100,79,44,78,77,5,7,74,59,69,6,100,68,11,26,39,49,28,3,59,65,52,84,9,39,25,97,63,78,6,45,25,4,4,40,100,21,70,97,80,3,45,59,38,46,15,96,81,75,60,36,92,24,99,12,55,16,22,73,89,54,67,16,21,18,95,67,17,46,9,47,14,21,2,63,54,89,71,79,16,93,34,55,39,13,18,96,35,50,56,33,70,29,83,78,19,63,73,65,53,8,81,37,22,79,76,68,54,6,30,53,70,64,67,63
56,99,46,58,50,88,24,8,51,40,69,83,16,51,99,52,38,28,69,63,27,12,86,4,57,13,38,34,47,59,5,81,32,70,98,20,87,47,96,16,55,21,36,24,4,88,23,74,6,56,45,36,23,27,99,86,33,87,53,89,52,99,89,81,16,25,47,4,80,50,99,70,55,30,22,50,85,46,49,30,32,46,29,80,12,90,74,7,81,59,17,51,58,94,65,89,47,31,95,54,58,29,92,14,94,22,15,39,13,11,56,90,89,16,62,40,6,12,10,50,50,21,85,29,34,12,79,86,46,1,60,28,29,9,72,22,3,1,63,10,18,28,40,13,38,26,27,24,15,3,1,9,6,13,14,18,18,13,49,20,43,32,1,37,4,10,3,23,10,2,35,22,53,15,26,26,34,29,71,19,9,17,49,3,80,51,70,59,44,73,20,63,86,9,40,91,39,58,34,3
